date,index,bnw_bfk_tfp_util,bnw_percap_rsp_end,bnw_percap_c,bnw_expost_ffr_mon,bnw_percap_h,bnw_percap_iv,bnw_percap_y,bnw_cpih_inf_an
1989.3,139,0.648488181,-11.10634205,-3.648064819,0.059046358,-7.663645902,-5.211238111,-3.446670813,0.031153642
1989.4,140,0.644019051,-11.10658095,-3.639766225,0.044041843,-7.666028977,-5.223830332,-3.447757329,0.040458157
1990.1,141,0.650025465,-11.17047913,-3.644898364,0.014529996,-7.673001507,-5.222050275,-3.445306818,0.068270004
1990.2,142,0.655614344,-11.13060595,-3.637562516,0.043521444,-7.681073098,-5.223857323,-3.444505855,0.039378556
1990.3,143,0.656892804,-11.30687833,-3.633793397,0.013499923,-7.691083384,-5.249931166,-3.448793067,0.068500077
1990.4,144,0.647906188,-11.25041348,-3.641151503,0.005753265,-7.697045853,-5.318031163,-3.464331622,0.067346735
1991.1,145,0.643057759,-11.13224052,-3.642661604,0.031408403,-7.709822702,-5.361733562,-3.47503527,0.029791597
1991.2,146,0.65325604,-11.15105458,-3.636620836,0.035325455,-7.717964123,-5.36868964,-3.468569286,0.023674545
1991.3,147,0.653835553,-11.11707626,-3.636792912,0.024126308,-7.721264844,-5.346560035,-3.46640419,0.030373692
1991.4,148,0.649661626,-11.05544697,-3.63737573,0.011249994,-7.725790835,-5.311821431,-3.465254098,0.033050006
1992.1,149,0.66439105,-11.09706518,-3.625472209,0.012785908,-7.733502109,-5.336494586,-3.454117467,0.027014092
1992.2,150,0.669065579,-11.09601166,-3.621872207,0.006948509,-7.730365595,-5.274939901,-3.444533281,0.030651491
1992.3,151,0.677104756,-11.08290913,-3.614811695,0.001781602,-7.731597624,-5.267326416,-3.435632818,0.030418398
1992.4,152,0.68346127,-11.05271526,-3.60673315,-0.005685312,-7.728089179,-5.239233163,-3.425619953,0.034885312
1993.1,153,0.677595506,-11.02651858,-3.605918735,0.001704199,-7.723511501,-5.218567167,-3.428337165,0.028995801
1993.2,154,0.676054835,-11.03855473,-3.601840665,0.001612876,-7.714888312,-5.213013903,-3.422772709,0.028787124
1993.3,155,0.672882152,-11.02732905,-3.59369418,0.012437009,-7.712887696,-5.216400935,-3.4190231,0.018462991
1993.4,156,0.677745501,-11.02216184,-3.589798679,-0.003420137,-7.707666331,-5.16777324,-3.404669376,0.033020137
1994.1,157,0.6721152,-11.07489178,-3.582989377,0.0133544,-7.702783027,-5.127891062,-3.395506878,0.0200456
1994.2,158,0.670092183,-11.08615132,-3.578356277,0.019842185,-7.687287686,-5.073435065,-3.38191264,0.022657815
1994.3,159,0.664158502,-11.05743044,-3.57343245,0.010416797,-7.678761138,-5.094325855,-3.378636229,0.036883203
1994.4,160,0.677018644,-11.07344369,-3.570182534,0.031285649,-7.675241175,-5.051492292,-3.367762994,0.023214351
1995.1,161,0.675884902,-10.99579553,-3.567156831,0.030528332,-7.669667227,-5.042844131,-3.3676583,0.029271668
1995.2,162,0.678123873,-10.92172569,-3.561294564,0.027432981,-7.670240955,-5.072150923,-3.367988314,0.032567019
1995.3,163,0.686110466,-10.85905307,-3.557674628,0.03788847,-7.664066053,-5.084426426,-3.359690197,0.02011153
1995.4,164,0.692460837,-10.81469504,-3.55490255,0.034253725,-7.666373437,-5.059366101,-3.353120947,0.021746275
1996.1,165,0.697630272,-10.77878194,-3.548118631,0.017690074,-7.669753754,-5.048463417,-3.34677408,0.035409926
1996.2,166,0.706083771,-10.7516676,-3.542458772,0.018453215,-7.664907868,-5.000423613,-3.329566738,0.034246785
1996.3,167,0.705021541,-10.73568136,-3.539522548,0.030048072,-7.660844797,-4.954085315,-3.322182448,0.022951928
1996.4,168,0.70207222,-10.67248877,-3.536097837,0.018296978,-7.652041452,-4.95986251,-3.312296209,0.034603022
1997.1,169,0.692264539,-10.66133756,-3.533172687,0.029604188,-7.645126222,-4.941423404,-3.308646267,0.024295812
1997.2,170,0.698720288,-10.50957775,-3.530163601,0.046422814,-7.642145245,-4.881716573,-3.293313515,0.009177186
1997.3,171,0.704383605,-10.44933251,-3.519890108,0.035449834,-7.639831067,-4.866677581,-3.281495359,0.019950166
1997.4,172,0.704225075,-10.43335556,-3.513374078,0.033499018,-7.638776071,-4.853628779,-3.275868548,0.021500982
1998.1,173,0.70925006,-10.31075091,-3.505473984,0.046661068,-7.636008457,-4.809268773,-3.26772584,0.008238932
1998.2,174,0.711785105,-10.28781946,-3.495806019,0.042452905,-7.633325025,-4.823773172,-3.260137339,0.013147095
1998.3,175,0.721281178,-10.4044919,-3.487752878,0.034643783,-7.635051958,-4.798328121,-3.247801492,0.020456217
1998.4,176,0.726352559,-10.22264132,-3.482134078,0.02807223,-7.625032714,-4.769649082,-3.229522394,0.01872777
1999.1,177,0.731340046,-10.18462329,-3.474962584,0.033504403,-7.630304369,-4.742445808,-3.223475371,0.014595597
1999.2,178,0.723263471,-10.12980204,-3.466884249,0.01776416,-7.625774746,-4.748627714,-3.21786109,0.02983584
1999.3,179,0.723220581,-10.20796367,-3.459719089,0.022585057,-7.622345832,-4.726787484,-3.20636473,0.029614943
1999.4,180,0.732209178,-10.08249569,-3.448439496,0.023602708,-7.621071555,-4.694861823,-3.189005537,0.029397292
2000.1,181,0.723849886,-10.08650004,-3.453345241,0.019114097,-7.630642859,-4.72288115,-3.201661076,0.039385903
2000.2,182,0.745194563,-10.12719065,-3.442806524,0.034068141,-7.634205979,-4.659045297,-3.182070429,0.031231859
2000.3,183,0.742078774,-10.15198528,-3.437391787,0.028811478,-7.637369608,-4.677964928,-3.18496606,0.036388522
2000.4,184,0.755330314,-10.24647095,-3.431412951,0.03558479,-7.645859068,-4.680469067,-3.182448318,0.02841521
2001.1,185,0.747168976,-10.38765907,-3.431902047,0.015018981,-7.649887411,-4.737252712,-3.190159268,0.038081019
2001.2,186,0.760719527,-10.3438433,-3.430493508,0.011751628,-7.663459421,-4.743469383,-3.186452207,0.027948372
2001.3,187,0.75879232,-10.5121947,-3.430451417,0.019424976,-7.6785782,-4.76811746,-3.195383576,0.011275024
2001.4,188,0.768871804,-10.41667488,-3.428172282,0.021203567,-7.692246028,-4.830858096,-3.194037639,-0.003003567
2002.1,189,0.782248038,-10.42301598,-3.424866352,0.004550388,-7.702646912,-4.800667556,-3.186843603,0.012749612
2002.2,190,0.781863953,-10.58106723,-3.423081451,-0.013825911,-7.70380696,-4.791161697,-3.184739473,0.031325911
2002.3,191,0.789356304,-10.78347288,-3.42279356,-0.003987502,-7.71029443,-4.791666583,-3.180440638,0.021487502
2002.4,192,0.787495655,-10.71627638,-3.419814492,-0.011177154,-7.711517014,-4.794595614,-3.182439846,0.023577154
2003.1,193,0.79284921,-10.77027459,-3.421655777,-0.02842855,-7.724615255,-4.800576577,-3.186012313,0.04092855
2003.2,194,0.801262922,-10.6328207,-3.419412405,0.018749624,-7.732898877,-4.797314531,-3.177959392,-0.006549624
2003.3,195,0.816693152,-10.62180598,-3.413592214,-0.019650704,-7.732916012,-4.764749864,-3.158277201,0.029750704
2003.4,196,0.814938577,-10.51890639,-3.41220208,-0.0053529,-7.731072816,-4.731024902,-3.154291817,0.0151529
2004.1,197,0.819245487,-10.51492474,-3.404490318,-0.023707057,-7.728211012,-4.726195398,-3.146473233,0.033707057
2004.2,198,0.824527174,-10.51261544,-3.403075302,-0.021000177,-7.729717542,-4.68643576,-3.142059807,0.031300177
2004.3,199,0.830673302,-10.54542398,-3.399134061,-0.009228304,-7.727377263,-4.676839459,-3.1375644,0.025428304
2004.4,200,0.834690769,-10.47566998,-3.392704818,-0.021121232,-7.726974439,-4.659785642,-3.132006116,0.042721232
2005.1,201,0.840255816,-10.50965824,-3.387884215,0.006148824,-7.726735343,-4.641542109,-3.123206504,0.020151176
2005.2,202,0.836970333,-10.51015962,-3.383641012,0.003459219,-7.721326634,-4.662359358,-3.121561027,0.026940781
2005.3,203,0.840003187,-10.49752697,-3.380350834,-0.023730958,-7.723737861,-4.654564861,-3.115362816,0.060130958
2005.4,204,0.832612871,-10.49449166,-3.377230311,0.004472065,-7.722207377,-4.622556678,-3.113244392,0.037127935
2006.1,205,0.834454297,-10.46557627,-3.373518363,0.025124214,-7.715886803,-4.610159996,-3.100726683,0.020775786
2006.2,206,0.829378708,-10.49669785,-3.369683919,0.014065638,-7.715839329,-4.614505937,-3.099491843,0.035934362
2006.3,207,0.81956783,-10.45890695,-3.368167775,0.014916273,-7.713892991,-4.631908529,-3.103785016,0.037583727
2006.4,208,0.824664135,-10.39808456,-3.36272076,0.068840631,-7.713502037,-4.66442176,-3.097688691,-0.016440631
2007.1,209,0.820855283,-10.40999038,-3.3622554,0.014142958,-7.717275696,-4.67853577,-3.102442349,0.038457042
2007.2,210,0.82320273,-10.36788916,-3.362626041,0.00629107,-7.718956611,-4.659231647,-3.094248539,0.04620893
2007.3,211,0.823511723,-10.36173599,-3.362504347,0.024791385,-7.725993257,-4.670015948,-3.089682995,0.024608615
